Task,Type,Difficulty,ParticipantID
Task1,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task2,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task3,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task4,CM,4,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task5,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task6,CM,4,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task7,CP,2,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task8,CP,3,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task9,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task10,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task11,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task12,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
