Task,Comment Contribution,ParticipantID
Task1,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task2,2,625d844e-747c-410e-a5d3-ed058832d3bc
Task3,4,625d844e-747c-410e-a5d3-ed058832d3bc
Task4,4,625d844e-747c-410e-a5d3-ed058832d3bc
Task5,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task6,4,625d844e-747c-410e-a5d3-ed058832d3bc
Task7,3,625d844e-747c-410e-a5d3-ed058832d3bc
Task8,2,625d844e-747c-410e-a5d3-ed058832d3bc
Task9,4,625d844e-747c-410e-a5d3-ed058832d3bc
Task10,2,625d844e-747c-410e-a5d3-ed058832d3bc
Task11,5,625d844e-747c-410e-a5d3-ed058832d3bc
Task12,1,625d844e-747c-410e-a5d3-ed058832d3bc
