Task,Comment Contribution,ParticipantID
Task1,4,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task2,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task3,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task4,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task5,2,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task6,2,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task7,5,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task8,1,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task9,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task10,4,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task11,5,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task12,1,66310afd-d49f-428c-88c0-3f9ff2788f4d
