Task,Type,Difficulty,ParticipantID
Task1,CP,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task2,CP,2,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task3,CP,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task4,CP,4,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task5,CP,5,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task6,CP,4,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task7,CM,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task8,CM,2,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task9,CM,3,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task10,CM,2,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task11,CM,4,66310afd-d49f-428c-88c0-3f9ff2788f4d
Task12,CM,1,66310afd-d49f-428c-88c0-3f9ff2788f4d
