Task,Comment Contribution,ParticipantID
Task1,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task2,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task3,3,66b337a9-fadd-45fe-ad28-c77543f6630f
Task4,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task5,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task6,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task7,2,66b337a9-fadd-45fe-ad28-c77543f6630f
Task8,3,66b337a9-fadd-45fe-ad28-c77543f6630f
Task9,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task10,4,66b337a9-fadd-45fe-ad28-c77543f6630f
Task11,2,66b337a9-fadd-45fe-ad28-c77543f6630f
Task12,2,66b337a9-fadd-45fe-ad28-c77543f6630f
