Task,Type,Difficulty,ParticipantID
Task1,CM,4,66b337a9-fadd-45fe-ad28-c77543f6630f
Task2,CM,1,66b337a9-fadd-45fe-ad28-c77543f6630f
Task3,CM,2,66b337a9-fadd-45fe-ad28-c77543f6630f
Task4,CM,2,66b337a9-fadd-45fe-ad28-c77543f6630f
Task5,CM,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task6,CM,4,66b337a9-fadd-45fe-ad28-c77543f6630f
Task7,CP,1,66b337a9-fadd-45fe-ad28-c77543f6630f
Task8,CP,1,66b337a9-fadd-45fe-ad28-c77543f6630f
Task9,CP,1,66b337a9-fadd-45fe-ad28-c77543f6630f
Task10,CP,1,66b337a9-fadd-45fe-ad28-c77543f6630f
Task11,CP,5,66b337a9-fadd-45fe-ad28-c77543f6630f
Task12,CP,1,66b337a9-fadd-45fe-ad28-c77543f6630f
