Task,Type,Difficulty,ParticipantID
Task1,CM,3,782b7c64-dfa7-4184-8205-a06d6c33efde
Task2,CM,2,782b7c64-dfa7-4184-8205-a06d6c33efde
Task3,CM,3,782b7c64-dfa7-4184-8205-a06d6c33efde
Task4,CM,4,782b7c64-dfa7-4184-8205-a06d6c33efde
Task5,CM,5,782b7c64-dfa7-4184-8205-a06d6c33efde
Task6,CM,4,782b7c64-dfa7-4184-8205-a06d6c33efde
Task7,CP,2,782b7c64-dfa7-4184-8205-a06d6c33efde
Task8,CP,2,782b7c64-dfa7-4184-8205-a06d6c33efde
Task9,CP,1,782b7c64-dfa7-4184-8205-a06d6c33efde
Task10,CP,1,782b7c64-dfa7-4184-8205-a06d6c33efde
Task11,CP,5,782b7c64-dfa7-4184-8205-a06d6c33efde
Task12,CP,1,782b7c64-dfa7-4184-8205-a06d6c33efde
