Task,Comment Contribution,ParticipantID
Task1,3,9679a6e6-f970-447c-802a-86f7f518f29c
Task2,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task3,1,9679a6e6-f970-447c-802a-86f7f518f29c
Task4,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task5,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task6,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task7,5,9679a6e6-f970-447c-802a-86f7f518f29c
Task8,2,9679a6e6-f970-447c-802a-86f7f518f29c
Task9,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task10,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task11,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task12,1,9679a6e6-f970-447c-802a-86f7f518f29c
