Task,Comment Contribution,ParticipantID
Task1,2,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task2,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task3,4,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task4,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task5,2,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task6,2,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task7,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task8,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task9,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task10,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task11,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task12,2,967a04d0-ff4d-43e7-b0df-c8a8ac083141
