Task,Type,Difficulty,ParticipantID
Task1,CM,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task2,CM,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task3,CM,2,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task4,CM,2,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task5,CM,4,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task6,CM,5,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task7,CP,4,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task8,CP,3,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task9,CP,1,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task10,CP,1,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task11,CP,5,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task12,CP,1,967a04d0-ff4d-43e7-b0df-c8a8ac083141
