Task,Comment Contribution,ParticipantID
Task1,5,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task2,3,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task3,4,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task4,1,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task5,2,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task6,2,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task7,1,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task8,1,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task9,5,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task10,5,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task11,1,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task12,5,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
