Task,Type,Difficulty,ParticipantID
Task1,CP,1,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task2,CP,5,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task3,CP,2,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task4,CP,4,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task5,CP,5,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task6,CP,3,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task7,CM,2,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task8,CM,2,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task9,CM,5,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task10,CM,1,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task11,CM,4,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
Task12,CM,1,9a43cae5-66ad-46b5-8c39-8a42777c4ac7
