Task,Comment Contribution,ParticipantID
Task1,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task2,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task3,3,b1c5e27d-dd98-491a-9641-eba35a06c659
Task4,3,b1c5e27d-dd98-491a-9641-eba35a06c659
Task5,2,b1c5e27d-dd98-491a-9641-eba35a06c659
Task6,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task7,3,b1c5e27d-dd98-491a-9641-eba35a06c659
Task8,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task9,3,b1c5e27d-dd98-491a-9641-eba35a06c659
Task10,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task11,2,b1c5e27d-dd98-491a-9641-eba35a06c659
Task12,4,b1c5e27d-dd98-491a-9641-eba35a06c659
