Task,Type,Difficulty,ParticipantID
Task1,CM,1,b1c5e27d-dd98-491a-9641-eba35a06c659
Task2,CM,3,b1c5e27d-dd98-491a-9641-eba35a06c659
Task3,CM,3,b1c5e27d-dd98-491a-9641-eba35a06c659
Task4,CM,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task5,CM,5,b1c5e27d-dd98-491a-9641-eba35a06c659
Task6,CM,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task7,CP,3,b1c5e27d-dd98-491a-9641-eba35a06c659
Task8,CP,2,b1c5e27d-dd98-491a-9641-eba35a06c659
Task9,CP,2,b1c5e27d-dd98-491a-9641-eba35a06c659
Task10,CP,1,b1c5e27d-dd98-491a-9641-eba35a06c659
Task11,CP,4,b1c5e27d-dd98-491a-9641-eba35a06c659
Task12,CP,1,b1c5e27d-dd98-491a-9641-eba35a06c659
