Task,Type,Difficulty,ParticipantID
Task1,CM,4,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task2,CM,5,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task3,CM,5,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task4,CM,2,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task5,CM,1,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task6,CM,4,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task7,CP,2,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task8,CP,2,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task9,CP,1,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task10,CP,1,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task11,CP,1,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task12,CP,1,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
