Task,Comment Contribution,ParticipantID
Task1,2,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task2,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task3,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task4,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task5,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task6,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task7,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task8,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task9,3,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task10,2,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task11,4,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
Task12,1,cb039d67-cebf-4750-8d66-55e7a5ca9e1b
