Task,Comment Contribution,ParticipantID
Task1,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task2,2,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task3,5,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task4,5,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task5,5,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task6,2,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task7,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task8,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task9,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task10,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task11,1,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task12,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
