Task,Type,Difficulty,ParticipantID
Task1,CM,3,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task2,CM,2,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task3,CM,5,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task4,CM,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task5,CM,5,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task6,CM,5,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task7,CP,2,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task8,CP,1,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task9,CP,2,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task10,CP,3,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task11,CP,4,dac593bd-1be4-425d-b1c9-3706b5a3f56f
Task12,CP,1,dac593bd-1be4-425d-b1c9-3706b5a3f56f
