Task,Type,Difficulty,ParticipantID
Task1,CP,2,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task2,CP,3,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task3,CP,4,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task4,CP,4,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task5,CP,5,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task6,CP,3,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task7,CM,2,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task8,CM,1,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task9,CM,2,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task10,CM,2,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task11,CM,2,dfab1ede-3be6-4858-8d67-0003b2a071a8
Task12,CM,1,dfab1ede-3be6-4858-8d67-0003b2a071a8
