Task,Type,Difficulty,ParticipantID
Task1,CM,2,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task2,CM,2,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task3,CM,4,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task4,CM,4,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task5,CM,5,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task6,CM,4,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task7,CP,5,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task8,CP,2,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task9,CP,3,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task10,CP,1,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task11,CP,3,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task12,CP,1,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
