Task,Accuracy,Time,Time_SD,Correct_Only_Time,Correct_Only_Time_SD,Time_Score,Score
Task1CM,70.0,190.9,87.6,136.5,108.9,0.6,64.6
Task1CP,30.0,271.7,74.1,82.9,135.9,0.4,34.6
Task2CM,60.0,206.4,100.4,110.6,126.8,0.5,56.8
Task2CP,50.0,241.4,81.3,104.2,129.5,0.4,46.6
Task3CM,50.0,238.0,71.1,100.6,117.9,0.5,52.5
Task3CP,30.0,291.0,86.4,100.0,163.8,0.4,33.8
Task4CM,50.0,203.0,90.3,78.0,104.0,0.5,51.9
Task4CP,40.0,244.3,90.2,76.0,114.4,0.4,40.5
Task5CM,50.0,295.5,156.8,152.3,222.5,0.6,57.1
Task5CP,70.0,331.3,151.5,231.4,209.7,0.6,64.1
Task6CM,40.0,333.4,240.1,160.1,306.0,0.7,56.1
Task6CP,30.0,285.3,93.0,106.7,173.8,0.8,53.8
Task7CM,40.0,229.1,85.2,121.2,157.0,0.7,53.3
Task7CP,40.0,238.9,121.9,120.9,181.4,0.6,52.2
Task8CM,60.0,230.1,71.8,141.7,135.4,0.4,49.8
Task8CP,60.0,167.3,80.8,77.3,78.0,0.6,61.1
Task9CM,60.0,339.2,107.9,200.3,177.2,0.5,54.8
Task9CP,100.0,189.4,97.1,189.4,97.1,0.8,88.9
Task10CM,80.0,169.5,65.0,131.4,87.5,0.5,65.1
Task10CP,90.0,144.6,92.4,138.9,99.9,0.6,74.5
Task11CM,10.0,276.5,101.6,52.0,164.5,0.5,30.8
Task11CP,10.0,198.8,103.4,9.9,31.2,0.7,39.0
Task12CM,90.0,62.9,20.8,55.7,28.4,0.7,79.0
Task12CP,100.0,69.7,44.7,69.7,44.7,0.6,81.4
