Task,Task_Number,Task_Type,Answer_Out,Solution,Correct,Time,TimeOut,Correct_Only_Time,SubjectID
Task1CP,1,CP,6,5,False,164.229,False,0.0,1ce913d5-069e-4146-9f00-0e5864133078
Task2CP,2,CP,"[9, 1]","[9, 1]",True,160.968,False,160.968,1ce913d5-069e-4146-9f00-0e5864133078
Task3CP,3,CP,3,5,False,100.211,False,0.0,1ce913d5-069e-4146-9f00-0e5864133078
Task4CP,4,CP,5,5,True,84.768,False,84.768,1ce913d5-069e-4146-9f00-0e5864133078
Task5CP,5,CP,3,3,True,182.05,False,182.05,1ce913d5-069e-4146-9f00-0e5864133078
Task6CP,6,CP,3,4,False,86.704,False,0.0,1ce913d5-069e-4146-9f00-0e5864133078
Task7CM,7,CM,656,1024,False,121.759,False,0.0,1ce913d5-069e-4146-9f00-0e5864133078
Task8CM,8,CM,8,13,False,156.751,False,0.0,1ce913d5-069e-4146-9f00-0e5864133078
Task9CM,9,CM,"[2, 3, 5, 7, 11, 13, 17]","[2, 3, 5, 7, 11, 13, 17]",True,255.568,False,255.568,1ce913d5-069e-4146-9f00-0e5864133078
Task10CM,10,CM,7,7,True,58.202,False,58.202,1ce913d5-069e-4146-9f00-0e5864133078
Task11CM,11,CM,3,6,False,285.329,False,0.0,1ce913d5-069e-4146-9f00-0e5864133078
Task12CM,12,CM,TRUE,TRUE,True,42.769,False,42.769,1ce913d5-069e-4146-9f00-0e5864133078
