Task,Task_Number,Task_Type,Answer_Out,Solution,Correct,Time,TimeOut,Correct_Only_Time,SubjectID
Task1CM,1,CM,5,5,True,310.073,True,310.073,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task2CM,2,CM,"[9, 1, 3, 7]","[9, 1]",False,307.168,True,0.0,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task3CM,3,CM,5,5,True,321.046,True,321.046,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task4CM,4,CM,5,5,True,306.464,True,306.464,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task5CM,5,CM,3,3,True,303.219,False,303.219,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task6CM,6,CM,5,4,False,304.377,True,0.0,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task7CP,7,CP,32,1024,False,318.843,True,0.0,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task8CP,8,CP,8,13,False,244.1,False,0.0,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task9CP,9,CP,"[2, 3, 5, 7, 11, 13, 17]","[2, 3, 5, 7, 11, 13, 17]",True,244.807,False,244.807,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task10CP,10,CP,7,7,True,205.65,False,205.65,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task11CP,11,CP,4,6,False,272.509,False,0.0,967a04d0-ff4d-43e7-b0df-c8a8ac083141
Task12CP,12,CP,TRUE,TRUE,True,113.001,False,113.001,967a04d0-ff4d-43e7-b0df-c8a8ac083141
