Task,Task_Number,Task_Type,Answer_Out,Solution,Correct,Time,TimeOut,Correct_Only_Time,SubjectID
Task1CM,1,CM,6,5,False,25.049,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task2CM,2,CM,"[8, 6, 1, 5, 7, 9, 1, 3, 7]","[9, 1]",False,121.689,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task3CM,3,CM,9,5,False,214.633,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task4CM,4,CM,5,5,True,142.225,False,142.225,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task5CM,5,CM,3,3,True,75.888,False,75.888,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task6CM,6,CM,101,4,False,194.582,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task7CP,7,CP,4,1024,False,90.284,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task8CP,8,CP,8,13,False,105.121,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task9CP,9,CP,"[2, 3, 5, 7, 11, 13, 17]","[2, 3, 5, 7, 11, 13, 17]",True,120.714,False,120.714,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task10CP,10,CP,45,7,False,57.351,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task11CP,11,CP,4,6,False,59.835,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
Task12CP,12,CP,TRUE,TRUE,True,37.287,False,37.287,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657
