Task;StoryOrder;ExecutionOrder
Task1CM;0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17;13, 14, 15, 0, 1, 2, 3, 4, 5, 6, 10, 3, 4, 5, 8, 10, 3, 4, 5, 6, 10, 3, 11, 15, 16, 17
Task1CP;0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17;13, 14, 15, 0, 1, 2, 3, 4, 5, 6, 10, 3, 4, 5, 8, 10, 3, 4, 5, 6, 10, 3, 11, 15, 16, 17
Task2CM;0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 16, 17, 18;13, 14, 15, 16, 0, 1, 2, 3, 4, 9, 3, 4, 9, 3, 4, 9, 3, 4, 9, 3, 4, 9, 3, 4, 5, 6, 7, 16, 17, 18
Task2CP;0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 16, 17, 18;13, 14, 15, 16, 0, 1, 2, 3, 4, 9, 3, 4, 9, 3, 4, 9, 3, 4, 9, 3, 4, 9, 3, 4, 5, 6, 7, 16, 17, 18
Task3CM;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 14, 15, 16, 17, 18;14, 15, 16, 0, 1, 2, 3, 4, 5, 6, 9, 4, 5, 6, 9, 4, 5, 6, 7, 4, 5, 6, 9, 4, 5, 6, 9, 4, 5, 6, 7, 4, 5, 6, 9, 4, 5, 6, 9, 4, 12, 16, 17, 18
Task3CP;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 19;14, 15, 16, 0, 1, 2, 3, 4, 5, 6, 9, 4, 5, 6, 9, 4, 5, 6, 7, 4, 5, 6, 9, 4, 5, 6, 9, 4, 5, 6, 7, 4, 5, 6, 9, 4, 5, 6, 9, 4, 12, 16, 17, 18
Task4CM;0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 19, 20, 21, 22, 23;19, 20, 21, 0, 1, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 6, 7, 8, 9, 10, 14, 6, 7, 6, 7, 8, 9, 10, 14, 6, 7, 8, 9, 10, 11, 12, 10, 11, 12, 10, 11, 12, 10, 11, 12, 10, 14, 6, 7, 6, 7, 6, 7, 6, 17, 21, 22, 23
Task4CP;0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 17, 19, 20, 21, 22, 23;19, 20, 21, 0, 1, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 6, 7, 8, 9, 10, 14, 6, 7, 6, 7, 8, 9, 10, 14, 6, 7, 8, 9, 10, 11, 12, 10, 11, 12, 10, 11, 12, 10, 11, 12, 10, 14, 6, 7, 6, 7, 6, 7, 6, 17, 21, 22, 23
Task5CM;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 15, 16, 17, 18, 19, 20;15, 16, 17, 18, 0, 1, 2, 3, 4, 5, 6, 7, 5, 6, 9, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 9, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 7, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 9, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 9, 5, 6, 7, 5, 4, 13, 18, 19, 20
Task5CP;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 15, 16, 17, 18, 19, 20;15, 16, 17, 18, 0, 1, 2, 3, 4, 5, 6, 7, 5, 6, 9, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 9, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 7, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 9, 5, 6, 9, 5, 4, 5, 6, 9, 5, 6, 9, 5, 6, 7, 5, 4, 13, 18, 19, 20
Task6CM;0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 15, 17, 18, 19, 20, 21;17, 18, 19, 0, 1, 2, 3, 4, 5, 6, 4, 5, 6, 7, 6, 4, 5, 6, 7, 6, 7, 6, 4, 5, 6, 7, 6, 7, 6, 7, 8, 6, 4, 5, 6, 7, 6, 7, 6, 7, 8, 6, 7, 6, 4, 5, 6, 7, 6, 7, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 4, 5, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 4, 5, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 6, 4, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 15, 19, 20, 21
Task6CP;0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 15, 17, 18, 19, 20, 21;17, 18, 19, 0, 1, 2, 3, 4, 5, 6, 4, 5, 6, 7, 6, 4, 5, 6, 7, 6, 7, 6, 4, 5, 6, 7, 6, 7, 6, 7, 8, 6, 4, 5, 6, 7, 6, 7, 6, 7, 8, 6, 7, 6, 4, 5, 6, 7, 6, 7, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 4, 5, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 4, 5, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 6, 4, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 15, 19, 20, 21
Task7CM;0, 1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16;11, 12, 13, 14, 0, 1, 2, 3, 6, 7, 2, 3, 4, 6, 7, 2, 3, 6, 7, 2, 3, 4, 6, 7, 2, 9, 14, 15, 16
Task7CP;0, 1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16;11, 12, 13, 14, 0, 1, 2, 3, 6, 7, 2, 3, 4, 6, 7, 2, 3, 6, 7, 2, 3, 4, 6, 7, 2, 9, 14, 15, 16
Task8CM;0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17;13, 14, 15, 0, 1, 4, 5, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 11, 15, 16, 17
Task8CP;0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17;13, 14, 15, 0, 1, 4, 5, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 7, 8, 9, 6, 11, 15, 16, 17
Task9CM;0, 1, 2, 3, 4, 5, 6, 7, 11, 13, 14, 15, 16, 17;13, 14, 15, 0, 1, 2, 3, 4, 5, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 3, 4, 5, 6, 7, 6, 7, 6, 7, 6, 7, 6, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 3, 4, 5, 3, 4, 5, 6, 3, 4, 3, 11, 15, 16, 17
Task9CP;0, 1, 2, 3, 4, 5, 6, 7, 11, 13, 14, 15, 16, 17;13, 14, 15, 0, 1, 2, 3, 4, 5, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 3, 4, 5, 6, 7, 6, 7, 6, 7, 6, 7, 6, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 5, 6, 3, 4, 3, 4, 3, 4, 5, 3, 4, 5, 6, 3, 4, 3, 11, 15, 16, 17
Task10CM;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 19, 20;15, 16, 17, 18, 0, 1, 2, 3, 4, 5, 7, 8, 12, 3, 4, 5, 6, 18, 19, 20
Task10CP;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 19, 20;15, 16, 17, 18, 0, 1, 2, 3, 4, 5, 7, 8, 12, 3, 4, 5, 6, 18, 19, 20
